BldgArea,BldgDepth,BuiltFAR,CommFAR,FacilFAR,LotArea,LotDepth,NumBldgs,NumFloors,OfficeArea,ResArea,ResidFAR,RetailArea,Age,Period,ComplaintType
35559.0,77.0,3.87,6.0,14.0,9200.0,123.15,1.0,3.0,6072.0,7650.0,10.0,2320.0,88.0,120.0,1
23980.0,60.0,5.48,6.0,14.0,4377.0,83.98,1.0,8.0,6072.0,20019.0,10.0,2320.0,88.0,120.0,0
19230.0,73.0,5.25,6.0,14.0,3665.0,73.0,1.0,7.0,6072.0,15190.0,10.0,2320.0,72.0,85.0,4
8115.0,25.0,4.4,6.0,14.0,1844.0,24.17,1.0,5.0,6072.0,7296.0,10.0,819.0,50.0,100.0,0
8665.0,67.0,5.0,6.0,14.0,1733.0,72.0,1.0,5.0,6072.0,5199.0,10.0,2320.0,68.0,100.0,0
9401.0,77.0,3.6,6.0,14.0,2291.0,77.67,1.0,5.0,6072.0,7650.0,10.0,2320.0,78.0,110.0,0
76036.25,138.0,10.37,6.0,14.0,7800.0,126.93,1.0,11.0,6072.0,7650.0,10.0,2320.0,87.0,91.0,0
76036.25,183.0,10.37,6.0,14.0,16942.0,126.93,1.0,12.0,6072.0,7650.0,10.0,2320.0,5.0,37.0,1
6336.0,57.0,3.88,6.0,14.0,1634.0,57.25,1.0,4.0,6072.0,4836.0,10.0,1500.0,88.0,120.0,0
5484.0,62.0,3.65,6.0,14.0,1504.0,62.0,1.0,4.0,1371.0,2742.0,10.0,1371.0,88.0,120.0,0
7050.0,57.0,4.82,6.0,14.0,1462.0,57.5,1.0,5.0,4230.0,1410.0,10.0,1410.0,60.0,100.0,0
76036.25,162.0,10.37,6.0,14.0,16942.0,126.93,1.0,12.0,6072.0,31531.0,10.0,2320.0,33.0,48.0,4
6800.0,65.0,3.64,6.0,14.0,1867.0,77.92,1.0,4.0,6072.0,7650.0,10.0,2320.0,68.0,100.0,0
6487.0,43.0,6.63,6.0,14.0,979.0,42.83,1.0,7.0,5527.0,7650.0,10.0,960.0,92.0,100.0,0
76036.25,183.0,10.37,6.0,14.0,16942.0,117.08,1.0,12.0,6072.0,31531.0,10.0,2320.0,20.0,33.0,2
